,Category,Class,Country,Unit,Value
1263,Threatened indigenous species as % of indigenous spec.,Fish,Canada,Percentage,6.466
1264,Threatened indigenous species as % of indigenous spec.,Marine Fish,Canada,Percentage,4.294
1265,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Canada,Percentage,24.0
1266,Total number of known species,Fish,Czech Republic,Number,59.0
1267,Total number of known species,Freshwater Fish,Czech Republic,Number,59.0
1268,Total number of indigenous known species,Fish,Czech Republic,Number,59.0
1269,Total number of indigenous known species,Freshwater Fish,Czech Republic,Number,59.0
1270,Number of endangered species,Fish,Czech Republic,Number,2.0
1271,Number of endangered species,Freshwater Fish,Czech Republic,Number,2.0
1272,Number of critically endangered species,Fish,Czech Republic,Number,15.0
1273,Number of critically endangered species,Freshwater Fish,Czech Republic,Number,15.0
1274,Number of vulnerable species,Fish,Czech Republic,Number,8.0
1275,Number of vulnerable species,Freshwater Fish,Czech Republic,Number,8.0
1276,Total number of threatened species,Fish,Czech Republic,Number,25.0
1277,Total number of threatened species,Freshwater Fish,Czech Republic,Number,25.0
1278,Number of endangered indigenous species,Mammals,Czech Republic,Number,1.0
1279,Number of endangered indigenous species,Birds,Czech Republic,Number,27.0
1280,Number of endangered indigenous species,Reptiles,Czech Republic,Number,3.0
1281,Number of endangered indigenous species,Amphibians,Czech Republic,Number,5.0
1282,Number of endangered indigenous species,Vascular plants,Czech Republic,Number,361.0
1283,Number of endangered indigenous species,Fish,Czech Republic,Number,2.0
1284,Number of endangered indigenous species,Freshwater Fish,Czech Republic,Number,2.0
1285,Number of critically endangered indigenous species,Mammals,Czech Republic,Number,10.0
1286,Number of critically endangered indigenous species,Birds,Czech Republic,Number,34.0
1287,Number of critically endangered indigenous species,Reptiles,Czech Republic,Number,1.0
1288,Number of critically endangered indigenous species,Amphibians,Czech Republic,Number,5.0
1289,Number of critically endangered indigenous species,Vascular plants,Czech Republic,Number,487.0
1290,Number of critically endangered indigenous species,Fish,Czech Republic,Number,15.0
1291,Number of critically endangered indigenous species,Freshwater Fish,Czech Republic,Number,15.0
1292,Number of vulnerable indigenous species,Mammals,Czech Republic,Number,4.0
1293,Number of vulnerable indigenous species,Birds,Czech Republic,Number,36.0
1294,Number of vulnerable indigenous species,Reptiles,Czech Republic,Number,3.0
1295,Number of vulnerable indigenous species,Amphibians,Czech Republic,Number,5.0
1296,Number of vulnerable indigenous species,Vascular plants,Czech Republic,Number,357.0
1297,Number of vulnerable indigenous species,Fish,Czech Republic,Number,8.0
1298,Number of vulnerable indigenous species,Freshwater Fish,Czech Republic,Number,8.0
1299,Total number of indigenous threatened species,Mammals,Czech Republic,Number,15.0
1300,Total number of indigenous threatened species,Birds,Czech Republic,Number,97.0
1301,Total number of indigenous threatened species,Reptiles,Czech Republic,Number,7.0
1302,Total number of indigenous threatened species,Amphibians,Czech Republic,Number,15.0
1303,Total number of indigenous threatened species,Vascular plants,Czech Republic,Number,1205.0
1304,Total number of indigenous threatened species,Fish,Czech Republic,Number,25.0
1305,Total number of indigenous threatened species,Freshwater Fish,Czech Republic,Number,25.0
1306,Threatened species as % of known species,Mammals,Czech Republic,Percentage,16.304000000000002
1307,Threatened species as % of known species,Birds,Czech Republic,Percentage,43.498000000000005
1308,Threatened species as % of known species,Reptiles,Czech Republic,Percentage,58.333
1309,Threatened species as % of known species,Amphibians,Czech Republic,Percentage,71.429
1310,Threatened species as % of known species,Vascular plants,Czech Republic,Percentage,53.556000000000004
1311,Threatened species as % of known species,Fish,Czech Republic,Percentage,42.373000000000005
1312,Threatened species as % of known species,Freshwater Fish,Czech Republic,Percentage,42.373000000000005
1313,Threatened indigenous species as % of indigenous spec.,Mammals,Czech Republic,Percentage,16.304000000000002
1314,Threatened indigenous species as % of indigenous spec.,Birds,Czech Republic,Percentage,43.498000000000005
1315,Threatened indigenous species as % of indigenous spec.,Reptiles,Czech Republic,Percentage,58.333
1316,Threatened indigenous species as % of indigenous spec.,Amphibians,Czech Republic,Percentage,71.429
1317,Threatened indigenous species as % of indigenous spec.,Vascular plants,Czech Republic,Percentage,53.556000000000004
1318,Threatened indigenous species as % of indigenous spec.,Fish,Czech Republic,Percentage,42.373000000000005
1319,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Czech Republic,Percentage,42.373000000000005
1320,Total number of known species,Freshwater Fish,Denmark,Number,55.0
1321,Total number of indigenous known species,Freshwater Fish,Denmark,Number,36.0
1322,Number of critically endangered species,Freshwater Fish,Denmark,Number,2.0
1323,Number of vulnerable species,Freshwater Fish,Denmark,Number,6.0
1324,Total number of threatened species,Freshwater Fish,Denmark,Number,8.0
1325,Number of critically endangered indigenous species,Freshwater Fish,Denmark,Number,2.0
1326,Number of vulnerable indigenous species,Freshwater Fish,Denmark,Number,6.0
1327,Total number of indigenous threatened species,Mammals,Denmark,Number,11.0
1328,Total number of indigenous threatened species,Birds,Denmark,Number,34.0
1329,Total number of indigenous threatened species,Amphibians,Denmark,Number,1.0
1330,Total number of indigenous threatened species,Vascular plants,Denmark,Number,117.0
1331,Total number of indigenous threatened species,Freshwater Fish,Denmark,Number,8.0
1332,Threatened species as % of known species,Mammals,Denmark,Percentage,16.418
1333,Threatened species as % of known species,Birds,Denmark,Percentage,16.268
1334,Threatened species as % of known species,Amphibians,Denmark,Percentage,6.667000000000001
1335,Threatened species as % of known species,Vascular plants,Denmark,Percentage,4.022
1336,Threatened species as % of known species,Freshwater Fish,Denmark,Percentage,14.545
1337,Threatened indigenous species as % of indigenous spec.,Mammals,Denmark,Percentage,18.965999999999998
1338,Threatened indigenous species as % of indigenous spec.,Birds,Denmark,Percentage,16.268
1339,Threatened indigenous species as % of indigenous spec.,Amphibians,Denmark,Percentage,6.667000000000001
1340,Threatened indigenous species as % of indigenous spec.,Vascular plants,Denmark,Percentage,9.75
1341,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Denmark,Percentage,22.221999999999998
1342,Total number of known species,Freshwater Fish,Finland,Number,69.0
1343,Total number of indigenous known species,Freshwater Fish,Finland,Number,69.0
1344,Number of endangered species,Freshwater Fish,Finland,Number,3.0
1345,Number of critically endangered species,Freshwater Fish,Finland,Number,4.0
1346,Number of vulnerable species,Freshwater Fish,Finland,Number,5.0
1347,Total number of threatened species,Freshwater Fish,Finland,Number,12.0
1348,Number of endangered indigenous species,Freshwater Fish,Finland,Number,3.0
1349,Number of critically endangered indigenous species,Freshwater Fish,Finland,Number,4.0
1350,Number of vulnerable indigenous species,Freshwater Fish,Finland,Number,5.0
1351,Total number of indigenous threatened species,Mammals,Finland,Number,7.0
1352,Total number of indigenous threatened species,Birds,Finland,Number,87.0
1353,Total number of indigenous threatened species,Reptiles,Finland,Number,1.0
1354,Total number of indigenous threatened species,Amphibians,Finland,Number,1.0
1355,Total number of indigenous threatened species,Vascular plants,Finland,Number,197.0
1356,Total number of indigenous threatened species,Freshwater Fish,Finland,Number,12.0
1357,Threatened species as % of known species,Mammals,Finland,Percentage,9.333
1358,Threatened species as % of known species,Birds,Finland,Percentage,35.080999999999996
1359,Threatened species as % of known species,Reptiles,Finland,Percentage,20.0
1360,Threatened species as % of known species,Amphibians,Finland,Percentage,14.286
1361,Threatened species as % of known species,Vascular plants,Finland,Percentage,15.887
1362,Threatened species as % of known species,Freshwater Fish,Finland,Percentage,17.391
1363,Threatened indigenous species as % of indigenous spec.,Mammals,Finland,Percentage,10.448
1364,Threatened indigenous species as % of indigenous spec.,Birds,Finland,Percentage,35.51
1365,Threatened indigenous species as % of indigenous spec.,Reptiles,Finland,Percentage,20.0
1366,Threatened indigenous species as % of indigenous spec.,Amphibians,Finland,Percentage,14.286
1367,Threatened indigenous species as % of indigenous spec.,Vascular plants,Finland,Percentage,21.413
1368,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Finland,Percentage,17.391
1369,Total number of known species,Freshwater Fish,France,Number,80.0
1370,Number of endangered species,Freshwater Fish,France,Number,6.0
1371,Number of critically endangered species,Freshwater Fish,France,Number,4.0
1372,Number of vulnerable species,Freshwater Fish,France,Number,5.0
1373,Total number of threatened species,Freshwater Fish,France,Number,15.0
1374,Number of critically endangered indigenous species,Birds,France,Number,16.0
1375,Total number of indigenous threatened species,Birds,France,Number,92.0
1376,Threatened species as % of known species,Mammals,France,Percentage,13.6
1377,Threatened species as % of known species,Birds,France,Percentage,27.366
1378,Threatened species as % of known species,Reptiles,France,Percentage,23.684
1379,Threatened species as % of known species,Amphibians,France,Percentage,22.857
1380,Threatened species as % of known species,Freshwater Fish,France,Percentage,18.75
1381,Threatened indigenous species as % of indigenous spec.,Birds,France,Percentage,32.394
1382,Total number of known species,Freshwater Fish,Germany,Number,93.0
1383,Total number of indigenous known species,Freshwater Fish,Germany,Number,79.0
1384,Number of endangered species,Freshwater Fish,Germany,Number,9.0
1385,Number of critically endangered species,Freshwater Fish,Germany,Number,8.0
1386,Number of vulnerable species,Freshwater Fish,Germany,Number,11.0
1387,Total number of threatened species,Freshwater Fish,Germany,Number,28.0
1388,Number of endangered indigenous species,Freshwater Fish,Germany,Number,9.0
1389,Number of critically endangered indigenous species,Freshwater Fish,Germany,Number,8.0
1390,Number of vulnerable indigenous species,Freshwater Fish,Germany,Number,11.0
1391,Total number of indigenous threatened species,Mammals,Germany,Number,32.0
1392,Total number of indigenous threatened species,Birds,Germany,Number,94.0
